mode,policy,seed,min_delivery_during_burst,max_p95_during_burst,recovery_time_delivery_ms,recovery_time_goodput_ms
heavy,HIER_STAGE3,0,1.0,95.12912802577195,0.0,0.0
heavy,HIER_STAGE3,1,1.0,100.79999999999836,0.0,200.0
heavy,HIER_STAGE3,2,0.9770114942528736,227.49236782498107,0.0,100.0
heavy,HIER_STAGE3,3,1.0,97.79583074035135,0.0,0.0
heavy,HIER_STAGE3,4,0.979381443298969,103.27049669590524,0.0,300.0
heavy,HIER_STAGE3,5,0.9937106918238994,123.21046152817617,0.0,100.0
heavy,HIER_STAGE3,6,1.0,85.92496181320669,0.0,200.0
heavy,HIER_STAGE3,7,0.9894179894179894,131.03999999999834,0.0,0.0
heavy,HIER_STAGE3,8,1.0,76.33987840522582,0.0,0.0
heavy,HIER_STAGE3,9,1.0,101.02724627822558,0.0,0.0
heavy,ecmp,0,1.0,410.30334000057576,0.0,0.0
heavy,ecmp,1,0.802547770700637,450.9259430792607,400.0,500.0
heavy,ecmp,2,0.7931034482758621,451.00750464711604,,100.0
heavy,ecmp,3,0.7715736040609137,451.09617784557435,600.0,
heavy,ecmp,4,0.7771739130434783,450.9274901499564,800.0,
heavy,ecmp,5,0.7041420118343196,451.1562292974189,900.0,900.0
heavy,ecmp,6,0.9779411764705882,450.4496374922136,0.0,300.0
heavy,ecmp,7,0.783068783068783,450.91711503793766,900.0,
heavy,ecmp,8,0.8383233532934131,450.9969008306187,,
heavy,ecmp,9,0.7883597883597884,451.1109186557444,800.0,1100.0
heavy,sp,0,0.47540983606557374,868.8275705984918,800.0,700.0
heavy,sp,1,0.554140127388535,869.4196833466301,400.0,
heavy,sp,2,0.47701149425287354,869.5940285389348,0.0,800.0
heavy,sp,3,0.5058823529411764,872.1700306441386,800.0,700.0
heavy,sp,4,0.4517766497461929,870.8085316961152,800.0,800.0
heavy,sp,5,0.48520710059171596,872.2495969442825,0.0,700.0
heavy,sp,6,0.49404761904761907,870.1725406294952,700.0,700.0
heavy,sp,7,0.4708994708994709,873.3397240874021,700.0,800.0
heavy,sp,8,0.5838150289017341,872.420961517736,,
heavy,sp,9,0.47619047619047616,875.1230292422739,,
light,HIER_STAGE3,0,1.0,56.31042684657718,0.0,100.0
light,HIER_STAGE3,1,1.0,49.90882013312546,0.0,0.0
light,HIER_STAGE3,2,1.0,45.43542465444379,0.0,0.0
light,HIER_STAGE3,3,1.0,56.37974181740331,0.0,0.0
light,HIER_STAGE3,4,1.0,57.39365211735776,0.0,0.0
light,HIER_STAGE3,5,1.0,56.17631983920187,0.0,300.0
light,HIER_STAGE3,6,1.0,46.983036655119214,0.0,100.0
light,HIER_STAGE3,7,1.0,57.87939091665541,0.0,0.0
light,HIER_STAGE3,8,1.0,58.85997445380405,0.0,0.0
light,HIER_STAGE3,9,1.0,56.32866773017991,0.0,0.0
light,ecmp,0,1.0,132.73939801937672,0.0,100.0
light,ecmp,1,1.0,111.81577930290514,0.0,0.0
light,ecmp,2,1.0,142.7360623841352,0.0,0.0
light,ecmp,3,1.0,130.7697904981695,0.0,0.0
light,ecmp,4,1.0,191.96148396440202,0.0,0.0
light,ecmp,5,1.0,187.06168134815877,0.0,300.0
light,ecmp,6,1.0,114.92442747813975,0.0,100.0
light,ecmp,7,1.0,162.50579207584207,0.0,0.0
light,ecmp,8,1.0,128.0489679450834,0.0,0.0
light,ecmp,9,1.0,133.33271089061444,0.0,0.0
light,sp,0,0.5958904109589042,541.5205127673315,,1100.0
light,sp,1,0.6217948717948718,555.553238030999,,1100.0
light,sp,2,0.6126760563380281,531.7583285514471,,
light,sp,3,0.6666666666666666,572.1661362099605,,
light,sp,4,0.6,619.9716643616943,1100.0,
light,sp,5,0.5875,543.7579463119831,,
light,sp,6,0.6158940397350994,544.0858879244954,,
light,sp,7,0.5909090909090909,596.6257618754491,1100.0,1100.0
light,sp,8,0.6231884057971014,553.0422143646838,1100.0,1100.0
light,sp,9,0.5886524822695035,575.177876370953,1100.0,1100.0
medium,HIER_STAGE3,0,1.0,79.39863343878991,0.0,0.0
medium,HIER_STAGE3,1,0.9880239520958084,69.0900029509415,0.0,0.0
medium,HIER_STAGE3,2,1.0,70.94528852170569,0.0,100.0
medium,HIER_STAGE3,3,1.0,56.04149459746217,0.0,0.0
medium,HIER_STAGE3,4,1.0,89.56434573414288,0.0,100.0
medium,HIER_STAGE3,5,1.0,64.17570940294627,0.0,700.0
medium,HIER_STAGE3,6,1.0,52.553665412837844,0.0,600.0
medium,HIER_STAGE3,7,1.0,120.14342865572105,0.0,0.0
medium,HIER_STAGE3,8,1.0,78.39999999999873,0.0,200.0
medium,HIER_STAGE3,9,1.0,63.25735230321535,0.0,0.0
medium,ecmp,0,1.0,172.30421702528582,0.0,0.0
medium,ecmp,1,1.0,158.6281572681946,0.0,0.0
medium,ecmp,2,1.0,190.36569241417442,0.0,100.0
medium,ecmp,3,1.0,190.96256675667823,0.0,0.0
medium,ecmp,4,1.0,252.87455318123165,0.0,100.0
medium,ecmp,5,1.0,264.0753022175294,0.0,700.0
medium,ecmp,6,1.0,169.63775081569966,0.0,600.0
medium,ecmp,7,1.0,267.0813521251271,0.0,0.0
medium,ecmp,8,1.0,191.99032884662765,0.0,200.0
medium,ecmp,9,1.0,221.1123278620197,0.0,0.0
medium,sp,0,0.6078431372549019,584.2045380102537,1100.0,900.0
medium,sp,1,0.5693430656934306,607.0751743114307,1100.0,100.0
medium,sp,2,0.5533333333333333,573.5314621677211,1000.0,1000.0
medium,sp,3,0.5960264900662252,589.2516061332335,1000.0,1100.0
medium,sp,4,0.559748427672956,689.762614740031,900.0,1000.0
medium,sp,5,0.5467625899280576,634.5119712468061,1000.0,1000.0
medium,sp,6,0.6280487804878049,612.1200791891268,,
medium,sp,7,0.6148648648648649,657.0277431808053,1000.0,700.0
medium,sp,8,0.6137931034482759,622.3052236643337,1100.0,1000.0
medium,sp,9,0.6011904761904762,617.8200052908929,,0.0
