topology,flow_pairs_id,mode,variant,base_pps,burst_pps,burst_start_ms,burst_end_ms,burst_jitter_ms,policy,seed,delivery_ratio,goodput_mbps,p95_latency_ms,delivery_burst,p95_latency_burst,goodput_burst_mbps,service_ratio_bits
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,sp,0,0.7621606334841629,10.78,464.12014861695013,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,ecmp,0,1.0,14.144,48.70195516865829,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,HIER_STAGE3,0,1.0,14.144,35.68605285734429,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,PPO_CANDIDATE,0,0.9770927601809954,13.82,123.199999999998,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,sp,1,0.7531663383056572,10.704,465.4451895932865,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,ecmp,1,1.0,14.212,50.130973578531666,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,HIER_STAGE3,1,1.0,14.212,36.026926704192725,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,PPO_CANDIDATE,1,0.9752321981424149,13.86,100.96905268439328,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,sp,2,0.7489666574813998,10.872,488.0669241904856,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,ecmp,2,1.0,14.516,50.99116589998423,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,HIER_STAGE3,2,1.0,14.516,35.78957959143499,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,PPO_CANDIDATE,2,0.9743731055387159,14.144,100.79999999999836,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,sp,3,0.733166388425153,10.54,471.4855860212089,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,ecmp,3,1.0,14.376,58.98635402496329,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,HIER_STAGE3,3,1.0,14.376,35.537994114693035,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,PPO_CANDIDATE,3,0.9732888146911519,13.992,104.15550569989982,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,sp,4,0.742942453854506,10.948,486.2400657810094,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,ecmp,4,1.0,14.736,65.82687622392292,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,HIER_STAGE3,4,1.0,14.736,35.743024098704645,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,PPO_CANDIDATE,4,0.9733984799131379,14.344,111.99999999999818,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,sp,5,0.747395099971839,10.616,481.8132801520802,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,ecmp,5,1.0,14.204,72.19861356277238,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,HIER_STAGE3,5,1.0,14.204,35.63541672708999,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,PPO_CANDIDATE,5,0.9752182483807378,13.852,90.04628714639823,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,sp,6,0.7568406205923837,10.732,462.8975650293685,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,ecmp,6,1.0,14.18,54.82720972888718,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,HIER_STAGE3,6,0.9997179125528914,14.176,35.45288019363495,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,PPO_CANDIDATE,6,0.9740479548660085,13.812,111.99999999999818,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,sp,7,0.7271980279375514,10.62,486.6508677141983,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,ecmp,7,1.0,14.604,80.85844961575197,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,HIER_STAGE3,7,1.0,14.604,37.20888994164295,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,PPO_CANDIDATE,7,0.9745275267050123,14.232,100.80000000000041,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,sp,8,0.745818480943241,10.88,471.58239790717784,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,ecmp,8,1.0,14.588,63.83020371834195,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,HIER_STAGE3,8,1.0,14.588,35.97578212729504,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,PPO_CANDIDATE,8,0.9755963805867837,14.232,100.80000000000041,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,sp,9,0.7329498767460969,10.704,479.51045421937954,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,ecmp,9,1.0,14.604,64.73847938778931,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,HIER_STAGE3,9,1.0,14.604,36.57360612769526,,,,
NSFNET,0-4_1-4_3-12,light,static,400.0,400.0,,,0.0,PPO_CANDIDATE,9,0.9726102437688304,14.204,100.79999999999916,,,,
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,sp,0,0.7305923721936706,10.804,524.7986868743437,0.6347926267281107,538.4109692142536,11.02,0.6347926267281107
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,ecmp,0,1.0,14.788,109.44372129093715,1.0,122.76167391067244,17.36,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,HIER_STAGE3,0,1.0,14.788,37.21176111541335,1.0,44.79999999999927,17.36,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,PPO_CANDIDATE,0,0.9794427914525291,14.484,123.199999999998,0.9873271889400922,123.28617890753269,17.14,0.9873271889400922
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,sp,1,0.7299623453469607,10.856,543.9318325878684,0.6569428238039673,547.3558276905203,11.26,0.6569428238039673
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,ecmp,1,1.0,14.872,100.32641721127482,1.0,107.48739625156739,17.14,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,HIER_STAGE3,1,1.0,14.872,44.79999999999927,1.0,44.80000000000018,17.14,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,PPO_CANDIDATE,1,0.9733727810650887,14.476,111.99999999999818,0.9754959159859977,137.93709362698354,16.72,0.9754959159859977
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,sp,2,0.7215457914240339,10.904,532.57079142437,0.6558139534883721,524.3018472912648,11.28,0.6558139534883721
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,ecmp,2,1.0,15.112,136.99011209414786,1.0,130.5731965108539,17.2,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,HIER_STAGE3,2,1.0,15.112,36.56398019119039,1.0,36.56458619945765,17.2,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,PPO_CANDIDATE,2,0.974854420328216,14.732,112.52529275212585,0.9790697674418605,124.32233429980793,16.84,0.9790697674418605
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,sp,3,0.7203639282847204,10.768,572.9764075270133,0.7015098722415796,558.6476077105879,12.08,0.7015098722415796
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,ecmp,3,1.0,14.948,148.29542197192058,1.0,121.18256836411274,17.22,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,HIER_STAGE3,3,1.0,14.948,44.80000000000018,1.0,44.80000000000018,17.22,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,PPO_CANDIDATE,3,0.9761841048969762,14.592,111.99999999999966,0.9709639953542393,149.22381867213903,16.72,0.9709639953542393
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,sp,4,0.737516339869281,11.284,604.1234073441228,0.6298701298701299,605.6802336923356,11.64,0.6298701298701299
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,ecmp,4,1.0,15.3,201.77791784593597,1.0,181.1905492988021,18.48,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,HIER_STAGE3,4,1.0,15.3,36.13609602069746,1.0,39.41653637093026,18.48,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,PPO_CANDIDATE,4,0.9756862745098039,14.928,112.79883664371698,0.9761904761904762,134.40000000000043,18.04,0.9761904761904762
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,sp,5,0.7174560216508795,10.604,538.3805365747342,0.6487747957992999,539.9533806068854,11.12,0.6487747957992999
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,ecmp,5,1.0,14.78,158.2614887929657,1.0,177.9739757827162,17.14,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,HIER_STAGE3,5,1.0,14.78,41.116272299799654,1.0,44.79999999999927,17.14,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,PPO_CANDIDATE,5,0.9769959404600812,14.44,101.07027797778922,0.9789964994165694,100.79999999999836,16.78,0.9789964994165694
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,sp,6,0.7280108254397835,10.76,527.4418357740279,0.6473372781065089,536.5554894268619,10.94,0.6473372781065089
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,ecmp,6,1.0,14.78,101.48110876189675,1.0,108.73569451513085,16.9,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,HIER_STAGE3,6,1.0,14.78,36.8926518397636,1.0,45.57746182716146,16.9,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,PPO_CANDIDATE,6,0.9737483085250338,14.392,112.63054064575314,0.9739644970414201,112.8904881050493,16.46,0.9739644970414201
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,sp,7,0.7143977005487326,10.936,577.1796810717949,0.6501650165016502,584.6277966565199,11.82,0.6501650165016502
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,ecmp,7,1.0,15.308,170.56633467784772,1.0,157.87634930914646,18.18,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,HIER_STAGE3,7,1.0,15.308,44.80000000000018,1.0,46.999696860981416,18.18,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,PPO_CANDIDATE,7,0.975176378364254,14.928,100.80000000000041,0.977997799779978,134.48274916416594,17.78,0.977997799779978
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,sp,8,0.7281299109481404,11.12,551.9613272289024,0.6707466340269278,544.6717468023324,10.96,0.6707466340269278
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,ecmp,8,1.0,15.272,112.70134027640219,1.0,116.90905927150546,16.34,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,HIER_STAGE3,8,1.0,15.272,37.70481690537007,1.0,36.18463099032501,16.34,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,PPO_CANDIDATE,8,0.9759036144578314,14.904,112.3384029193885,0.9755201958384333,145.59999999999823,15.94,0.9755201958384333
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,sp,9,0.7297297297297297,11.124,589.9751066846525,0.6463276836158192,567.4983755634292,11.44,0.6463276836158192
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,ecmp,9,1.0,15.244,139.3497753850213,1.0,123.88891792091007,17.7,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,HIER_STAGE3,9,1.0,15.244,36.57360612769526,1.0,44.79999999999927,17.7,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,PPO_CANDIDATE,9,0.9737601679349253,14.844,111.99999999999852,0.9706214689265537,134.45389896319801,17.18,0.9706214689265537
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,0,0.7194302606826122,10.708,492.7645806056027,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,0,1.0,14.884,62.82231703824789,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,0,1.0,14.884,36.74876810807655,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,0,0.9707067992475141,14.448,72.65618850494111,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,1,0.7093425605536332,10.66,486.313695371881,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,1,1.0,15.028,62.32677020932251,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,1,1.0,15.028,44.79999999999927,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,1,0.972318339100346,14.612,67.20000000000027,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,2,0.7203145478374836,10.992,558.3812944852517,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,2,1.0,15.26,92.82895580377412,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,2,1.0,15.26,35.97609339074049,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,2,0.9719528178243775,14.832,67.20000000000027,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,3,0.7132997079904433,10.748,536.9596931107022,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,3,1.0,15.068,93.95326180777872,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,3,1.0,15.068,44.69372164081592,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,3,0.9713299707990444,14.636,78.45435549779816,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,4,0.7200311364815776,11.1,549.6263839798843,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,4,1.0,15.416,137.02858911775223,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,4,1.0,15.416,35.95242178109172,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,4,0.9693824597820446,14.944,67.20000000000027,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,5,0.7045088566827697,10.5,529.0766189338041,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,5,1.0,14.904,158.4306590247137,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,5,1.0,14.904,37.10253529368546,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,5,0.9720880300590445,14.488,67.2820818368321,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,6,0.7189174705251876,10.732,508.06250120380247,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,6,1.0,14.928,85.47153684779897,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,6,1.0,14.928,38.55317745102696,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,6,0.9705251875669882,14.488,78.39999999999873,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,7,0.7021497021497022,10.844,549.522116683893,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,7,1.0,15.444,169.43069916936383,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,7,1.0,15.444,38.41185509612342,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,7,0.9712509712509713,15.0,68.0944173678539,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,8,0.706111833550065,10.86,501.71152198423675,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,8,1.0,15.38,132.30695617645569,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,8,1.0,15.38,44.79999999999927,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,8,0.9719115734720416,14.948,78.40146566536195,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,9,0.7178217821782178,11.02,572.7958136020217,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,9,1.0,15.352,145.89956086243032,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,9,1.0,15.352,38.46167249829074,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,9,0.97107868681605,14.908,78.39999999999873,,,,
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,sp,0,0.7172236503856041,11.16,607.4175560140793,0.6322722283205269,577.1541796428194,11.52,0.6322722283205269
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,ecmp,0,1.0,15.56,180.79431856819414,1.0,164.5558387671797,18.22,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,HIER_STAGE3,0,1.0,15.56,45.095485239534455,1.0,56.020810436232864,18.22,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,PPO_CANDIDATE,0,0.9691516709511568,15.08,78.78612413586416,0.960482985729967,104.91770842917812,17.5,0.960482985729967
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,sp,1,0.7110091743119266,11.16,622.1055384935171,0.6475225225225225,600.1028971114773,11.5,0.6475225225225225
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,ecmp,1,1.0,15.696,181.56086413454776,1.0,146.45554052773423,17.76,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,HIER_STAGE3,1,0.9997451580020388,15.692,44.80000000000018,0.9988738738738738,67.20000000000027,17.74,0.9988738738738738
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,PPO_CANDIDATE,1,0.9696738022426096,15.22,78.39999999999873,0.9662162162162162,100.79999999999856,17.16,0.9662162162162162
